Alpha,Straight Stave (matches stereo staves),Hybrid Sense,,,,,,Alpha,DCB Sense,Connectors J9 through J13 on Telem BB,,,,,,Alpha,Stereo Stave (matches straight staves),Hybrid Sense,,,,
Connector Telemetry BB,RJ45 Connector PPP,Label (red shell),Line,Wire No.,LVR ID - Connector,Power Location on PPP,,Connector Telemetry BB,Connector PPP,Label (red shell),Line,Wire No.,LVR ID - Connector,Power Location on PPP,,Connector Telemetry BB,Connector PPP,Label (red shell),Line,Wire No.,LVR ID - Connector,Power Location on PPP
J1,C11,C11-J1-1.2-1X,JP0 P4 LV Sense P,1,1 - J10,P19 - 1,,J9,D10,D10-J9-1.5-1,JD1 1V5 Sense P,1,10 - J10,P21  - 3 (Master) | P21 - 2 (slave),,J14,I10,I10-J14-1.2-1U,JP3 P4 LV Sense P,1,1 - J10,P22 - 1
J1,C11,C11-J1-1.2-1X,JP0 P4 LV Sense N,2,1 - J10,P19 - 9,,J9,D10,D10-J9-1.5-1,JD1 1V5 Sense N,2,10 - J10,P21 - 11 (Master) | P21 - 10 (slave),,J14,I10,I10-J14-1.2-1U,JP3 P4 LV Sense N,2,1 - J10,P22 - 9
J1,C11,C11-J1-1.2-1X,JP5 P3 LV Sense P,3,1 - J10,P2 - 6,,J9,D10,D10-J9-1.5-1,JD0 1V5 Sense P,3,10 - J10,P21  - 1 (Master) | P21 - 7 (slave),,J14,I10,I10-J14-1.2-1U,JP6 P3 LV Sense P,3,1 - J10,P2 - 6
J1,C11,C11-J1-1.2-1X,JP4 P4 LV Sense P,4,1 - J10,P19 - 2,,J9,D10,D10-J9-1.5-1,JD9 1V5 Sense P,4,10 - J16,P23  - 5 (Master) | P23 - 3 (slave),,J14,I10,I10-J14-1.2-1U,JP7 P4 LV Sense P,4,1 - J10,P22 - 2
J1,C11,C11-J1-1.2-1X,JP4 P4 LV Sense N,5,1 - J10,P19 - 10,,J9,D10,D10-J9-1.5-1,JD9 1V5 Sense N,5,10 - J16,P23 - 13 (Master) | P23 - 11 (slave),,J14,I10,I10-J14-1.2-1U,JP7 P4 LV Sense N,5,1 - J10,P22 - 10
J1,C11,C11-J1-1.2-1X,JP5 P3 LV Sense N,6,1 - J10,P2 - 14,,J9,D10,D10-J9-1.5-1,JD0 1V5 Sense N,6,10 - J10,P21  - 9 (Master) | P21 - 15 (slave),,J14,I10,I10-J14-1.2-1U,JP6 P3 LV Sense N,6,1 - J10,P2 - 14
J1,C11,C11-J1-1.2-1X,JP9 P3 LV Sense P,7,1 - J10,P4 - 6,,J9,D10,D10-J9-1.5-1,JD8 1V5 Sense P,7,10 - J16,P20 - 4 (Master) | P20 - 5 (slave),,J14,I10,I10-J14-1.2-1U,JP10 P3 LV Sense P,7,1 - J10,P1 - 6
J1,C11,C11-J1-1.2-1X,JP9 P3 LV Sense N,8,1 - J10,P4 - 14,,J9,D10,D10-J9-1.5-1,JD8 1V5 Sense N,8,10 - J16,P20 - 12 (Master) | P20 - 13 (slave),,J14,I10,I10-J14-1.2-1U,JP10 P3 LV Sense N,8,1 - J10,P1 - 14
,,,,,,,,,,,,,,,,,,,,,,
