Gamma,,,LVR Underground,LVR Surface,
LVR Name,PPP Name,PPP Part No.,LV1.5 (no) (J12/J13) (ChS/ChR),LV1.2 (no) (J12/J13) (ChS/ChR),Cable Pair.Wire
DCB_7_gamma_b_P,JD7_JPL1_1V5_Master,P32 - 1,31 - J13 - 8,(12) - J13 - 8 | ID: 4,W1.Blue
DCB_7_gamma_b_P_S,JD7_JPL1_1V5_Slave,P32 - 2,31 - J13 - 6,(12) - J13 - 6 | ID: 4,W2.2
DCB_6_7_gamma_b_25_P,JD7_6_JPL1_2V5,P32 - 3,2.5 36 - J13 - 8,(16) - J13 - 8 | ID: 2,W5.8
DCB_8_gamma_b_P,JD8_JPL2_1V5_Master,P32 - 4,33 - J13 - 4,(10) - J13 - 4 | ID: 43,W3.4
DCB_8_gamma_b_P_S,JD8_JPL2_1V5_Slave,P32 - 5,33 - J13 - 2,(10) - J13 - 2 | ID: 43,W4.6
DCB_10_11_gamma_b_25_P,JD11_10_JPL2_2V5,P32 - 6,2.5 36 - J12 - 6,(16) - J12 - 6 | ID: 2,W6.10
DCB_7_gamma_b_N,JD7_JPL1_GND_Master,P32 - 9,31 - J13 - 7,(12) - J13 - 7 | ID: 4,W1.Green
DCB_7_gamma_b_N_S,JD7_JPL1_GND_Slave,P32 - 10,31 - J13 - 5,(12) - J13 - 5 | ID: 4,W2.1
DCB_6_7_gamma_b_25_N,JD7_6_JPL1_GND,P32 - 11,2.5 36 - J13 - 7,(16) - J13 - 7 | ID: 2,W5.7
DCB_8_gamma_b_N,JD8_JPL2_GND_Master,P32 - 12,33 - J13 - 3,(10) - J13 - 3 | ID: 43,W3.3
DCB_8_gamma_b_N_S,JD8_JPL2_GND_Slave,P32 - 13,33 - J13 - 1,(10) - J13 - 1 | ID: 43,W4.5
DCB_10_11_gamma_b_25_N,JD11_10_JPL2_2V5,P32 - 14,2.5 36 - J12 - 5,(16) - J12 - 5 | ID: 2,W6.9
DCB_0_gamma_b_P,JD0_JPL0_1V5_Master,P33 -1,33 - J12 - 4,(10) - J12 - 4 | ID: 43,W1.Blue
DCB_1_gamma_b_P_S,JD1_JPL0_1V5_Slave,P33 - 2,33 - J12 - 6,(10) - J12 - 6 | ID: 43,W4.6
DCB_1_gamma_b_P,JD1_JPL0_1V5_Master,P33 - 3,33 - J12 - 8,(10) - J12 - 8 | ID: 43,W3.4
DCB_4_gamma_b_P,JD4_JPL1_1V5_Master,P33 - 4,31 - J12 - 4,(12) - J12 - 4 | ID: 4,W5.8
DCB_4_gamma_b_P_S,JD4_JPL1_1V5_Slave,P33 - 5,31 - J12 - 2,(12) - J12 - 2 | ID: 4,W6.10
DCB_0_gamma_b_P_S,JD0_JPL0_1V5_Slave,P33 - 6,33 - J12 - 2,(10) - J12 - 2 | ID: 43,W2.2
DCB_0_gamma_b_N,JD0_JPL0_GND_Master,P33 - 9,33 - J12 - 3,(10) - J12 - 3 | ID: 43,W1.Green
DCB_1_gamma_b_N_S,JD1_JPL0_GND_Slave,P33 - 10,33 - J12 - 5,(10) - J12 - 5 | ID: 43,W4.5
DCB_1_gamma_b_N,JD1_JPL0_GND_Master,P33 - 11,33 - J12 - 7,(10) - J12 - 7 | ID: 43,W3.3
DCB_4_gamma_b_N,JD4_JPL1_GND_Master,P33 - 12,31 - J12 - 3,(12) - J12 - 3 | ID: 4,W5.7
DCB_4_gamma_b_N_S,JD4_JPL1_GND_Slave,P33 - 13,31 - J12 - 1,(12) - J12 - 1 | ID: 4,W6.9
DCB_0_gamma_b_N_S,JD0_JPL0_GND_Slave,P33 - 14,33 - J12 - 1,(10) - J12 - 1 | ID: 43,W2.1
DCB_6_gamma_b_P_S,JD6_JPL1_1V5_Slave,P35 - 1,31 - J13 - 2,(12) - J13 - 2 | ID: 4,W2.2
DCB_6_gamma_b_P,JD6_JPL1_1V5_Master,P35 - 2,31 - J13 - 4,(12) - J13 - 4 | ID: 4,W1.Blue
DCB_9_gamma_b_P_S,JD9_JPL2_1V5_Slave,P35 - 3,33 - J13 - 6,(10) - J13 - 6 | ID: 43,W4.6
DCB_9_gamma_b_P,JD9_JPL2_1V5_Master,P35 - 5,33 - J13 - 8,(10) - J13 - 8 | ID: 43,W.3.4
DCB_10_gamma_b_P_S,JD10_JPL2_1V5_Slave,P35 - 6,29 - J12 - 2,(11) - J12 - 2 | ID: 44,W6.10
DCB_10_gamma_b_P,JD10_JPL2_1V5_Master,P35 - 7,29 - J12 - 4,(11) - J12 - 4 | ID: 44,W5.8
DCB_6_gamma_b_N_S,JD6_JPL1_GND_Slave,P35 - 9,31 - J13 - 1,(12) - J13 - 1 | ID: 4,W2.1
DCB_6_gamma_b_N,JD6_JPL1_GND_Master,P35 - 10,31 - J13 - 3,(12) - J13 - 3 | ID: 4,W1.Green
DCB_9_gamma_b_N_S,JD9_JPL2_GND_Slave,P35-11,33 - J13 - 5,(10) - J13 - 5 | ID: 43,W4.5
DCB_9_gamma_b_N,JD9_JPL2_GND_Master,P35 - 13,33 - J13 - 7,(10) - J13 - 7 | ID: 43,W3.3
DCB_10_gamma_b_N_S,JD10_JPL2_GND_Slave,P35 - 14,29 - J12 - 1,(11) - J12 - 1 | ID: 44,W6.9
DCB_10_gamma_b_N,JD10_JPL2_GND_Master,P35 - 15,29 - J12 - 3,(11) - J12 - 3 | ID: 44,W5.7
DCB_0_1_gamma_b_25_P,JD1_0_JPL0_2V5,P36 - 1,2.5 36 - J13 - 2,(16) - J13 - 2 | ID: 2,W3.4
DCB_5_gamma_b_P_S,JD5_JPL1_1V5_Slave,P36 - 3,31 - J12 - 6,(12) - J12 - 6 | ID: 4,W2.2
DCB_4_5_gamma_b_25_P,JD5_4_JPL1_2V5,P36 - 4,2.5 36 - J13 - 4,(16) - J13 - 4 | ID: 2,W4.6
DCB_5_gamma_b_P,JD5_JPL1_1V5_Master,P36 - 5,31 - J12 - 8,(12) - J12 - 8 | ID: 4,W1.Blue
DCB_0_1_gamma_b_25_N,JD1_0_JPL0_GND,P36 - 9,2.5 36 - J13 - 1,(16) - J13 - 1 | ID: 2,W3.3
DCB_5_gamma_b_N_S,JD5_JPL1_GND_Slave,P36 - 11,31 - J12 - 5,(12) - J12 - 5 | ID: 4,W2.1
DCB_4_5_gamma_b_25_N,JD5_4_JPL1_GND,P36 - 12,2.5 36 - J13 - 3,(16) - J13 - 3 | ID: 2,W4.5
DCB_5_gamma_b_N,JD5_JPL1_GND_Master,P36 - 13,31 - J12 - 7,(12) - J12 - 7 | ID: 4,W1.Green
DCB_8_9_gamma_b_25_P,JD9_8_JPL2_2V5,P35 - 4,2.5 36 - J13 - 6,(16) - J13 - 6 | ID: 2,W3.3
DCB_8_9_gamma_b_25_N,JD9_8_JPL2_GND,P35 - 12,2.5 36 - J13 - 5,(16) - J13 - 5 | ID: 2,W3.4
DCB_11_gamma_b_P_S,JD11_JPL2_1V5_Slave,P35 - 8,29 - J13 - 2,(11) - J13 - 2 | ID: 44,W2.2
DCB_11_gamma_b_N_S,JD11_JPL2_GND_Slave,P35 - 16,29 - J13 - 1,(11) - J13 - 1 | ID: 44,W2.1
DCB_11_gamma_b_P,JD11_JPL2_1V5_Master,P32 - 7,29 - J13 - 4,(11) - J13 - 4 | ID: 44,W1.Blue
DCB_11_gamma_b_N,JD11_JPL2_GND_Master,P32 - 15,29 - J13 - 3,(11) - J13 - 3 | ID: 44,W1.Green
,,,,,
,,,,,
