LVR Name,PPP Name,PPP Part No - Pin No (Src/Ret).,LVR Underground,LVR Surface,Cable Pair Wire.A / Wire.B (Src/Ret),
Alpha,,,LV1.2 (no) (J12/J13) (ChS/ChR),LV1.2 (no) (J12/J13) (ChS/ChR),,M/S/A (surface)
PT_b_alpha_S0S_P1W_LV_SRC/RET,JP0_JPU0_P1W_LV_Source/Return,P1 - 1/9,22 - J12 - 4/3,7 - J13 - 4/3 | ID: 99,W1.BLUE / W1.GREEN,M
PT_b_alpha_S0S_P2E_LV_SRC/RET,JP0_JPU0_P2E_LV_Source/Return,P1 - 2/10,21 - J12 - 2/1,7 - J12 - 8/7 | ID: 99,W2.2 / W2.1,M
PT_b_alpha_S0S_P3_LV_SRC/RET,JP0_JPU0_P3_LV_Source/Return,P1 - 3/11,15 - J12 - 4/3,3 - J12 - 4/3 | ID: 26,W3.4 / W3.3,A
PT_b_alpha_S0M_P1W_LV_SRC/RET,JP1_JPU0_P1W_LV_Source/Return,P1 - 4/12,22 - J13 - 4/3,8 - J13 - 4/3 | ID: 55,W4.6 / W4.5,M
PT_b_alpha_S0M_P2E_LV_SRC/RET,JP1_JPU0_P2E_LV_Source/Return,P1 - 5/13,18 - J12 - 2/1,5 - J12 - 2/1 | ID: 69,W5.8 / W5.7,A
PT_b_alpha_S0M_P3_LV_SRC/RET,JP1_JPU0_P3_LV_Source/Return,P1 - 6/14,15 - J12 - 8/7,3 - J12 - 8/7 | ID: 26,W6.10 / W6.9,A
PT_b_alpha_S1S_P1W_LV_SRC/RET,JP4_JPU1_P1W_LV_Source/Return,P2 - 1/9,21 - J13 - 4/3,7 - J13 - 8/7 | ID: 99,W1.BLUE / W1.GREEN,M
PT_b_alpha_S1S_P2E_LV_SRC/RET,JP4_JPU1_P2E_LV_Source/Return,P2 - 2/10,15 - J12 - 2/1,3 - J12 - 2/1 | ID: 26,W2.2 / W2.1,A
PT_b_alpha_S1S_P3_LV_SRC/RET,JP4_JPU1_P3_LV_Source/Return,P2 - 3/11,13 - J12 - 4/3,1 - J12 - 4/3 | ID: 30,W3.4 / W3.3,A
PT_b_alpha_S1M_P1W_LV_SRC/RET,JP5_JPU1_P1W_LV_Source/Return,P2 - 4/12,23 - J12 - 4/3,8 - J12 - 8/7 | ID: 55,W4.6 / W4.5,M
PT_b_alpha_S1M_P2E_LV_SRC/RET,JP5_JPU0_P2E_LV_Source/Return,P2 - 5/13,18 - J12 - 4/3,5 - J12 - 4/3 | ID: 69,W5.8 / W5.7,A
PT_b_alpha_S1M_P3_LV_SRC/RET,JP5_JPU1_P3_LV_Source/Return,P2 - 6/14,15 - J12 - 6/5,3 - J12 - 6/5 | ID: 26,W6.10 / W6.9,A
PT_b_alpha_S2S_P1W_LV_SRC/RET,JP8_JPU2_P1W_LV_Source/Return,P3 - 1/9,18 - J12 - 8/7,5 - J12 - 8/7 | ID: 59,W1.BLUE / W1.GREEN,A
PT_b_alpha_S2S_P2E_LV_SRC/RET,JP8_JPU2_P2E_LV_Source/Return,P3 - 2/10,15 - J13 - 4/3,3 - J13 - 4/3 | ID: 26,W2.2 / W2.1,A
PT_b_alpha_S2S_P3_LV_SRC/RET,JP8_JPU2_P3_LV_Source/Return,P3 - 3/11,13 - J12 - 2/1,1 - J12 - 2/1 | ID: 30,W3.4 / W3.3,A
PT_b_alpha_S2M_P1W_LV_SRC/RET,JP9_JPU2_P1W_LV_Source/Return,P3 - 4/12,23 - J13 - 8/7,8 - J13 - 8/755,W4.6 / W4.5,A
PT_b_alpha_S2M_P2E_LV_SRC/RET,JP9_JPU2_P2E_LV_Source/Return,P3 - 5/13,18 - J12 - 6/5,5 - J12 - 6/569,W5.8 / W5.7,A
PT_b_alpha_S2M_P3_LV_SRC/RET,JP9_JPU2_P3_LV_Source/Return,P3 - 6/14,15 - J13 - 8/7,3 - J13 - 8/7 | ID: 26,W6.10 / W6.9,A
PT_b_alpha_S0M_P4_LV_SRC/RET,JP1_JPL0_P4_LV_Source/Return,P19 - 1/9,13 - J12 - 8/7,1 - J12 - 8/7 | ID: 30,W1.BLUE / W1.GREEN,A
