LVR Name,PPP Name,PPP Part No - Pin No (Src/Ret),LVR Surface,Cable Pair Wire.A / Wire.B (Src/Ret),,
Gamma,,,LV1.2 (no) (J12/J13) (ChS/ChR),,,IP depop (surface)
PT_b_gamma_X2M_P1W_LV_SRC/RET,JP8_JPU2_P1W_LV_Source/Return,P16 - 1/9,8 - J13 - 8/7  | ID: 108,W1.BLUE / W1.GREEN,,yes
PT_b_gamma_X2M_P2E_LV_SRC/RET,JP8_JPU2_P2E_LV_Source/Return,P16 - 2/10,5 - J12 - 6/5 | ID: 58,W2.2 / W2.1,,yes
PT_b_gamma_X2M_P3_LV_SRC/RET,JP8_JPU2_P3_LV_Source/Return,P16 - 3/11,3 - J13 - 8/7 | ID: 54,W3.4 / W3.3,,yes
PT_b_gamma_X2S_P1W_LV_SRC/RET,JP9_JPU2_P1W_LV_Source/Return,P16 - 4/12,5 - J12 - 8/7 | ID: 58,W4.6 / W4.5,,yes
PT_b_gamma_X2S_P2E_LV_SRC/RET,JP9_JPU2_P2E_LV_Source/Return,P16 - 5/13,3 - J13 - 4/3 | ID: 54,W5.8 / W5.7,,yes
PT_b_gamma_X2S_P3_LV_SRC/RET,JP9_JPU2_P3_LV_Source/Return,P16 - 6/14,1 - J12 - 2/1 | ID: 27,W6.10 / W6.9,,yes
PT_b_gamma_X1M_P1W_LV_SRC/RET,JP4_JPU1_P1W_LV_Source/Return,P17 - 1/9,8 - J12 - 8/7 | ID: 108,W1.BLUE / W1.GREEN,,no
PT_b_gamma_X1M_P2E_LV_SRC/RET,JP4_JPU1_P2E_LV_Source/Return,P17 - 2/10,5 - J12 - 4/3 | ID: 58,W2.2 / W2.1,,no
PT_b_gamma_X1M_P3_LV_SRC/RET,JP4_JPU1_P3_LV_Source/Return,P17 - 3/11,3 - J12 - 6/5 | ID: 54,W3.4 / W3.3,,no
PT_b_gamma_X1S_P1W_LV_SRC/RET,JP5_JPU1_P1W_LV_Source/Return,P17 - 4/12,7 - J13 - 8/7 | ID: 65,W4.6 / W4.5,,no
PT_b_gamma_X1S_P2E_LV_SRC/RET,JP5_JPU1_P2E_LV_Source/Return,P17 - 5/13,3 - J12 - 2/1 | ID: 54,W5.8 / W5.7,,no
PT_b_gamma_X1S_P3_LV_SRC/RET,JP5_JPU1_P3_LV_Source/Return,P17 - 6/14,1 - J12 - 4/3 | ID: 27,W6.10 / W6.9,,no
PT_b_gamma_X0M_P1W_LV_SRC/RET,JP0_JPU0_P1W_LV_Source/Return,P18 - 1/9,8 - J13 - 4/3 | ID: 108,W1.BLUE / W1.GREEN,,no
PT_b_gamma_X0M_P2E_LV_SRC/RET,JP0_JPU0_P2E_LV_Source/Return,P18 - 2/10,5 - J12 - 2/1 | ID: 58,W2.2 / W2.1,,no
PT_b_gamma_X0M_P3_LV_SRC/RET,JP0_JPU0_P3_LV_Source/Return,P18 - 3/11,3 - J12 - 8/7 | ID: 54,W3.4 / W3.3,,no
PT_b_gamma_X0S_P1W_LV_SRC/RET,JP1_JPU0_P1W_LV_Source/Return,P18 - 4/12,7 - J13 - 4/3 | ID: 65,W4.6 / W4.5,,no
PT_b_gamma_X0S_P2E_LV_SRC/RET,JP1_JPU0_P2E_LV_Source/Return,P18 - 5/13,7 - J12 - 8/7 | ID: 65,W5.8 / W5.7,,no
PT_b_gamma_X0S_P3_LV_SRC/RET,JP1_JPU0_P3_LV_Source/Return,P18 - 6/14,3 - J12 - 4/3 | ID: 54,W6.10 / W6.9,,no
PT_b_gamma_X0M_P4_LV_SRC/RET,JP0_JPU0_P4_LV_Source/Return,P31 - 1/9,1 - J12 - 8/7 | ID: 27,W1.BLUE / W1.GREEN,,no
PT_b_gamma_X1M_P4_LV_SRC/RET,JP4_JPU1_P4_LV_Source/Return,P31 - 2/10,1 - J12 - 6/5 | ID: 27,W2.2 / W2.1,,no
PT_b_gamma_X2M_P4_LV_SRC/RET,JP8_JPU2_P4_LV_Source/Return,P31 - 3/11,1 - J13 - 8/7 | ID: 27,W3.4 / W3.3,,yes
