Gamma,,,,C Top Mag True,,,,,,Beta,,,,C Top Mag True,,,,,,Alpha,,,,C Top Mag True,,,,,
PPP Location,Telemetry Board Location,Length (cm),Label (Black shell),Cut,Mini I/O,Label,RJ45,Checked,,PPP Location,Telemetry Board Location,Length (cm),Label (blue shell),Cut,Mini I/O,Label,RJ45,Checked,,PPP Location,Telemetry Board Location,Length (cm),Label (red shell),Cut,Mini I/O,Label,RJ45,Checked,
A7,J21,75,A7-J21-1.2-8U,,,,,,,A1,J18,100,A1-J18-1.2-5U,,,,,,,C9,J15,130,C9-J15-1.2-2U,,,,,,
A8,J18,75,A8-J18-1.2-5U,,,,,,,A2,J16,100,A2-J16-1.2-3U,,,,,,,C10,J8,125,C10-J8-1.2-8X,,,,,,
A9,J17,?,A9-J17-1.2-4U,,,,,,,A3,J14,100,A3-J14-1.2-1U,,,,,,,C11,J1,120,C11-J1-1.2-1X,,,,,,
A10,J16,77,A10-J16-1.2-3U,,,,,,,A4,J12,100,A4-J12-2.5-1,,,,,,,D9,J16,130,D9-J16-1.2-3U,,,,,,check label
A11,J15,77,A11-J15-1.2-2U,,,,,,,A5,J10,97,A5-J10-1.5-2,,,,,,,D10,J9,125,D10-J9-1.5-1,,,,,,
A12,J14,87,A12-J14-1.2-1U,,,,,,,A6,J8,90,A6-J8-1.2-8X,,,,,,,D11,J2,122,D11-J2-1.2-2X,,,,,,
A13,J13,87,A13-J13-2.5-2,,,,,,,B1,J21,88,B1-J21-1.2-8U,,,,,,,E9,J17,133,E9-J17-1.2-4U,,,,,,
A14,J12,?,A14-J12-2.5-1,,,,,,,B2,J17,87,B2-J17-1.2-4U,,,,,,,E10,J10,125,E10-J10-1.5-2,,,,,,
A15,J11,90,A15-J11-1.5-3,,,,,,,B3,J15,85,B3-J15-1.2-2U,,,,,,,E11,J3,122,E11-J3-1.2-3X,,,,,,
A16,J10,?,A16-J10-1.5-2,,,,,,,B4,J13,88,B4-J13-2.5-2,,,,,,,F9,J18,133,F9-J18-1.2-5U,,,,,,
A17,J9,90,A17-J9-1.5-1,,,,,,,B5,J11,87,B5-J11-1.5-3,,,,,,,F10,J11,125,F10-J11-1.5-3,,,,,,
A18,J8,90,A18-J8-1.2-8X,,,,,,,B6,J9,92,B6-J9-1.5-1,,,,,,,F11,J4,122,F11-J4-1.2-4X,,,,,,
A19,J5,95,A19-J5-1.2-5X,,,,,,,B7,J5,90,B7-J7-1.2-5X,,,,,,,G9,J19,135,G9-J19-1.2-6U,,,,,,
A20,J4,?,A20-J4-1.2-4X,,,,,,,B8,J4,90,B8-J4-1.2-4X,,,,,,,G10,J12,130,G10-J12-2.5-1,,,,,,
A21,J3,95,A21-J3-1.2-3X,,,,,,,B9,J3,85,B9-J3-1.2-3X,,,,,,,G11,J5,122,G11-J5-1.2-5X,,,,,,
A22,J2,97,A22-J2-1.2-2X,,,,,,,B10,J2,85,B10-J2-1.2-2X,,,,,,,H9,J20,135,H9-J20-1.2-7U,,,,,,
A23,J1,97,A23-J1-1.2-1X,,,,,,,B11,J1,88,B11-J1-1.2-1X,,,,,,,H10,J13,130,H10-J13-2.5-2,,,,,,
,,,,,,,,,,,,,,,,,,,,H11,J6,122,H11-J6-1.2-6X,,,,,,
,,,,,,,,,,,,,,,,,,,,I9,J21,135,I9-J21-1.2-8U,,,,,,
,,,,,,,,,,,,,,,,,,,,I10,J14,130,I10-J14-1.2-1U,,,,,,
,,,,,,,,,,,,,,,,,,,,I11,J7,125,I11-J12-1.2-7X,,,,,,
